case,karyotype,type,K_beta,tail,Scale_Tail,Shape_Tail,Mean_C1,Mean_C2,Mean_C3,Mean_Tail,N,N_C1,N_C2,N_C3,N_Tail,NLL,pi_C1,pi_C2,pi_C3,pi_Tail,Variance_C1,Variance_C2,Variance_C3,Variance_Tail,AIC,BIC,entropy,ICL,size,reduced.entropy,reICL
./H043-28GK,1:1,primary,2,TRUE,0.050062577,1.760227195,0.241390184,0.494878516,NA,0.115914703,5915,746,4298,NA,871,-6044.772082,0.116636671,0.722667871,NA,0.160695458,0.00175,0.00209,NA,Inf,-12065.54416,-11985.3212,427.7299401,-11557.59126,12,25.88554017,-11959.43566
./H043-28GK,1:1,relapse,2,TRUE,0.09792401,2.074260693,0.254742614,0.494130518,NA,0.189078802,7678,1832,5015,NA,831,-4549.879574,0.222027854,0.642278964,NA,0.135693181,0.00379,0.00668,NA,0.232,-9075.759149,-8992.405776,2043.934033,-6948.471743,12,789.1334746,-8203.272302
./H043-4PGF,1:1,primary,1,TRUE,0.056306305,1.683531048,0.468337196,NA,NA,0.138681942,5333,3297,NA,NA,2036,-4498.10268,0.599700669,NA,NA,0.400299331,0.005637046,NA,NA,Inf,-8978.205361,-8918.970338,504.9275031,-8414.042835,9,0,-8918.970338
./H043-4PGF,2:1,primary,1,TRUE,0.056390976,1.639184814,0.330784546,NA,NA,0.14461425,541,352,NA,NA,189,-587.4006386,0.627360976,NA,NA,0.372639024,0.002735565,NA,NA,Inf,-1156.801277,-1118.160504,74.02246478,-1044.138039,9,0,-1118.160504
./H043-4PGF,2:2,relapse,1,TRUE,0.107250106,2.025927858,0.385334828,NA,NA,0.211789724,3714,2909,NA,NA,805,-3250.32137,0.75241834,NA,NA,0.24758166,0.005341155,NA,NA,0.854,-6482.642741,-6426.663958,651.1648578,-5775.4991,9,0,-6426.663958
./H043-5VWP,1:1,primary,1,TRUE,0.107250106,2.199484573,0.382694246,NA,NA,0.1966636,4579,3643,NA,NA,936,-3870.179742,0.763202771,NA,NA,0.236797229,0.006377069,NA,NA,0.0881,-7722.359485,-7664.496362,792.681104,-6871.815258,9,0,-7664.496362
./H043-5VWP,2:1,primary,1,TRUE,0.107411385,1.767688126,0.323085583,NA,NA,0.247326776,540,435,NA,NA,105,-523.752154,0.747003266,NA,NA,0.252996734,0.004386897,NA,NA,Inf,-1029.504308,-990.8801857,134.3617781,-856.5184077,9,0,-990.8801857
./H043-5VWP,1:1,relapse,1,TRUE,0.062562562,2.193887106,0.466930117,NA,NA,0.114964971,5363,3804,NA,NA,1559,-5052.227845,0.700490859,NA,NA,0.299509141,0.004854465,NA,NA,0.0311,-10086.45569,-10027.17018,283.8308433,-9743.339338,9,0,-10027.17018
./H043-5VWP,2:1,relapse,1,TRUE,0.062656641,1.502785931,0.348380596,NA,NA,0.187275562,676,488,NA,NA,188,-677.3101442,0.695575927,NA,NA,0.304424073,0.003158938,NA,NA,Inf,-1336.620288,-1295.974551,96.49357782,-1199.480973,9,0,-1295.974551
./H043-63R6,1:1,relapse,1,TRUE,0.102375101,2.108447089,0.477964969,NA,NA,0.194734134,5900,4558,NA,NA,1342,-4322.554389,0.754995274,NA,NA,0.245004726,0.00704,NA,NA,0.166,-8627.108778,-8566.964409,648.246141,-7918.718268,9,0,-8566.964409
